"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"155","2020/06/03","US",329064917,19857,1008,1857565,110625,246238,205062,0.00564498037935779,6.0343716312973e-05,0.000748296118118237,0.000623165793149563
"156","2020/06/04","US",329064917,21658,1006,1879223,111631,246797,208058,0.00571079717987682,6.58168005190295e-05,0.00074999487107281,0.000632270379646701
"157","2020/06/05","US",329064917,25403,890,1904626,112521,252123,213798,0.00578799471351727,7.71975336404519e-05,0.000766180127309044,0.000649713746300096
"158","2020/06/06","US",329064917,21142,642,1925768,113163,254603,216389,0.00585224343438593,6.42487208686546e-05,0.000773716634155807,0.000657587572606532
"159","2020/06/07","US",329064917,17928,460,1943696,113623,252868,211997,0.0059067250854943,5.44816511083739e-05,0.000768444118277124,0.000644240662094039
"160","2020/06/08","US",329064917,17616,508,1961312,114131,251933,205135,0.00596025859541873,5.35335099244262e-05,0.000765602733639332,0.000623387633875294
"161","2020/06/09","US",329064917,18383,908,1979695,115039,247996,199886,0.00601612295242036,5.58643570016308e-05,0.000753638529020096,0.000607436374020996
"162","2020/06/10","US",329064917,21111,878,2000806,115917,244629,202014,0.00608027746695343,6.41545145330701e-05,0.000743406505409995,0.000613903183121767
"163","2020/06/11","US",329064917,23166,831,2023972,116748,244163,207766,0.00615067694986154,7.03994829081096e-05,0.000741990371462176,0.000631383016743775
"164","2020/06/12","US",329064917,24828,828,2048800,117576,250008,211092,0.0062261271079226,7.54501580610612e-05,0.000759752824090938,0.000641490444877781
"165","2020/06/13","US",329064917,25212,737,2074012,118313,257806,216447,0.00630274420897929,7.66171010566891e-05,0.000783450275861526,0.000657763829621497
"166","2020/06/14","US",329064917,18941,348,2092953,118661,255245,213730,0.00636030428002144,5.75600710421525e-05,0.000775667616976622,0.00064950710014462
"167","2020/06/15","US",329064917,19827,396,2112780,119057,255215,208154,0.00642055682891288,6.02525488914396e-05,0.000775576449555089,0.000632562115395607
"168","2020/06/16","US",329064917,23667,812,2136447,119869,257224,210679,0.0064924788077606,7.19219788477178e-05,0.000781681627883777,0.000640235373374671
"169","2020/06/17","US",329064917,27072,739,2163519,120608,258893,219823,0.00657474828895236,8.22694811917613e-05,0.000786753575435087,0.000668023203458058
"170","2020/06/18","US",329064917,28537,688,2192056,121296,266288,230744,0.006661469779229,8.67214902766435e-05,0.000809226344843075,0.000701211183810275
"171","2020/06/19","US",329064917,31544,628,2223600,121924,279904,243905,0.00675732928405735,9.58595048283436e-05,0.000850604198563045,0.000741206331636988
"172","2020/06/20","US",329064917,32280,558,2255880,122482,294568,255074,0.00685542542962731,9.80961455699636e-05,0.000895166834208583,0.000775147962673882
"173","2020/06/21","US",329064917,25150,318,2281030,122800,301335,257058,0.00693185411801283,7.642868838552e-05,0.000915731165592472,0.000781177168151292
"174","2020/06/22","US",329064917,32144,408,2313174,123208,312368,264374,0.00702953697127184,9.76828532590121e-05,0.000949259504318414,0.000803409863349243
"175","2020/06/23","US",329064917,37072,749,2350246,123957,326274,276234,0.00714219559297474,0.000112658621702902,0.000991518643113207,0.000839451383995456
"176","2020/06/24","US",329064917,35878,736,2386124,124693,337324,293171,0.00725122575130062,0.000109030158325872,0.00102509864337802,0.000890921471279176
"177","2020/06/25","US",329064917,40326,537,2426450,125230,352438,313670,0.00737377299932584,0.000122547248025228,0.00107102879034656,0.000953216170412964
"178","2020/06/26","US",329064917,45999,628,2472449,125858,379496,336002,0.00751356000676304,0.000139787007437198,0.0011532557267416,0.00102108119900244
"179","2020/06/27","US",329064917,41330,503,2513779,126361,400999,350260,0.00763915832449559,0.000125598317732546,0.00121860149558271,0.00106441003554323
"180","2020/06/28","US",329064917,40734,319,2554513,126680,418066,362457,0.00776294544945367,0.000123787124958082,0.00127046664169307,0.00110147567022467
"181","2020/06/29","US",329064917,41299,386,2595812,127066,432293,372212,0.00788844956085063,0.000125504111396962,0.00131370127189827,0.00113112027679329
"182","2020/06/30","US",329064917,46420,555,2642232,127621,450176,386352,0.00802951595110335,0.000141066390252717,0.00136804617187435,0.00117409052147604
"183","2020/07/01","US",329064917,51820,702,2694052,128323,470452,413022,0.00818699247723208,0.000157476526128733,0.00142966319317474,0.00125513835921925
"184","2020/07/02","US",329064917,56636,710,2750688,129033,494808,437514,0.00835910441343098,0.000172111936198899,0.00150367898380367,0.00132956744215914
"185","2020/07/03","US",329064917,51351,669,2802039,129702,521009,451793,0.00851515568886974,0.000156051275438761,0.00158330157085691,0.001372960095895
"186","2020/07/04","US",329064917,45693,315,2847732,130017,534558,461608,0.0086540127886073,0.000138857099737557,0.00162447581733546,0.00140278703730668
"187","2020/07/05","US",329064917,50747,326,2898479,130343,548233,472029,0.00880822855995919,0.000154215771351888,0.00166603296698444,0.00143445556063334
"188","2020/07/06","US",329064917,43106,377,2941585,130720,555461,469136,0.00893922398904651,0.000130995429087325,0.0016879982377459,0.00142566398228347
"189","2020/07/07","US",329064917,60661,1161,3002246,131881,575796,488467,0.00912356755430115,0.000184343565254633,0.0017497945549753,0.00148440922980556
"190","2020/07/08","US",329064917,60119,823,3062365,132704,589916,507852,0.00930626402814008,0.000182696473838929,0.00179270402137703,0.00154331857868641
"191","2020/07/09","US",329064917,62509,1020,3124874,133724,611095,529062,0.00949622350656117,0.000189959478421092,0.00185706518206558,0.00160777394571054
"192","2020/07/10","US",329064917,68057,816,3192931,134540,638418,550699,0.00970304288013784,0.000206819373576673,0.00194009743068417,0.00167352692903449
"193","2020/07/11","US",329064917,60017,729,3252948,135269,657136,558896,0.00988542938474356,0.000182386504605716,0.00199697982389293,0.00169843690751147
"194","2020/07/12","US",329064917,58424,472,3311372,135741,669140,560684,0.0100629748992658,0.000177545514522291,0.0020334589481625,0.00170387048583487
"195","2020/07/13","US",329064917,58930,448,3370302,136189,676250,568263,0.010242058104298,0.000179083205032155,0.00205506562706592,0.00172690241542826
"196","2020/07/14","US",329064917,68051,929,3438353,137118,687665,590621,0.0104488592443904,0.000206801140092367,0.00208975483095939,0.00179484645578307
"197","2020/07/15","US",329064917,68090,974,3506443,138092,704404,607964,0.0106557789021307,0.00020691965774036,0.00214062321326099,0.00184755034217154
"198","2020/07/16","US",329064917,75866,955,3582309,139047,734577,640724,0.0108863291555326,0.000230550253401823,0.00223231636692525,0.00194710516648604
"199","2020/07/17","US",329064917,72236,925,3654545,139972,756066,652299,0.0111058481509288,0.000219518995396279,0.00229761959096964,0.00198228059662769
"200","2020/07/18","US",329064917,62536,858,3717081,140830,775496,654716,0.0112958896800293,0.000190041529100472,0.00235666569098279,0.00198962565188923
"201","2020/07/19","US",329064917,60456,485,3777537,141315,775291,652663,0.0114796102679035,0.000183720587874155,0.00235604271360231,0.00198338676134229
